TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"CHARCOAL GRAY THROW Scarf Bath Beach Blanket Towel Baby Blanket Summer Blanket Organic Bamboo Silky Snuggly Aesthetic Decor","Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

------
STORY - This luxurious blend of organic bamboo and mulberry silk can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

------
DETAILS:

Measurement: 72”L x 36”W + 1"" Hand-twisted Tassle

Material: 95% super soft organic bamboo & 5% luscious mulberry silk + natural, azo-free dyes

Color: Charcoal Gray

------
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",65,USD,1,"spring_decor,boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,housewarming_gift,stroller_blanket,bedroom_decor,living_room_decor,boho_bath_towel,Snuggle,Adore","Bamboo,Silk",https://i.etsystatic.com/22799156/r/il/f97c13/2256724790/il_fullxfull.2256724790_g9oq.jpg,https://i.etsystatic.com/22799156/r/il/654c26/2304329093/il_fullxfull.2304329093_1cr8.jpg,https://i.etsystatic.com/22799156/r/il/0fdfa5/2256723246/il_fullxfull.2256723246_pc17.jpg,https://i.etsystatic.com/22799156/r/il/ddeb27/2261162014/il_fullxfull.2261162014_tpaq.jpg,,,,,,,,,,,,,amara_charcoal
"CHESTNUT CASHMERE THROW | Blanket | Baby Blanket | Summer Blanket | Farmhouse | Wabi Sabi | Nautical | Aesthetic | Organic | Natural","Handcrafted in Germany by a Family of Women Artisans

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

------
STORY - This luxurious blend of cashmere and lambswool can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. We are using natural fibers of the finest and most precious quality -- from the first shearings of Mongolian Cashmere Goats to Australian Merino Wool Sheep.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-------
DETAILS:

Measurement: 75"" L x 55"" W incl. Fringes

Material: 50% Super Soft Cashmere + 50% Ultra-Fine Lambswool

Color: Chestnut Brown

-------
CARE - Dry clean only.",245,USD,1,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,scandinavian_decor,housewarming_gift,bedroom_decor,living_room_decor,cashmere_throw,lambswool_throw,washable,fall_decor,halloween","Bamboo,Cotton,Wool,Linen,Silk",https://i.etsystatic.com/22799156/r/il/6c985f/2303165769/il_fullxfull.2303165769_fen7.jpg,https://i.etsystatic.com/22799156/r/il/622a37/2303165499/il_fullxfull.2303165499_pd40.jpg,,,,,,,,,,,,,,,anja
"NAVY LINEN THROW | Mini Waffle | Scarf | Shawl | Bath Towel | Beach Blanket Towel | Baby Blanket | Summer Blanket | Organic | Sustainable |","Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious organic cotton piece can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end of the process, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are they insulating yet breathable, but oh-so-soft and luscious, hugging you with a warmth that feels like sleeping inside a cloud.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 140 x 170 cm + 1” Hand-Knotted Fringe

Material: 100% Organic Cotton

Color: Midnight Blue

-----
CARE - Dry clean or hand-wash & hang to dry.",75,USD,1,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,scandinavian_decor,housewarming_gift,stroller_blanket,bedroom_decor,linen_throw,boho_bath_towel,fall_decor,halloween","Silk,Linen,Wool,Cotton,Bamboo",https://i.etsystatic.com/22799156/r/il/816053/2301007229/il_fullxfull.2301007229_bcvg.jpg,,,,,,,,,,,,,,,,mia_midnightblue
"DENIM LAMBSWOOL & LINEN Throw | Blanket | Baby Blanket | Summer Blanket | Farmhouse | Wabi Sabi | Nautical | Aesthetic | Organic | Natural","Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious blend of ultra-fine lambswool and linen can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. Using natural fibers of the finest and most precious quality, these throws will dress your surroundings with classic simplicity while offering you a unique blend of comfort, practicality, and elegance. 

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS - Measurement: 71” L x 50” W + 1.5” Hand-Knotted Tassles

Material: 50% Ultra-Fine Lambswool + 50% Flax Linen

Color: Denim

-----
CARE - Dry clean or hand-wash & hang to dry.",119,USD,2,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,scandinavian_decor,housewarming_gift,bedroom_decor,living_room_decor,cashmere_throw,lambswool_throw,washable,fall_decor,halloween","Silk,Linen,Wool,Cotton,Bamboo",https://i.etsystatic.com/22799156/r/il/114c40/2255494924/il_fullxfull.2255494924_ct86.jpg,https://i.etsystatic.com/22799156/r/il/808a62/2255494586/il_fullxfull.2255494586_e5lp.jpg,https://i.etsystatic.com/22799156/r/il/aa7992/2255494796/il_fullxfull.2255494796_t4bu.jpg,,,,,,,,,,,,,,hedy_denim
"CHARCOAL EMBROIDERED SUMMER Throw | Blanket | Scarf | Shawl | Bath Towel | Beach Blanket Towel | Baby Blanket | Organic Cotton | Lightweight","Handcrafted in Ethiopia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

-----
STORY - This light-weight and breatheable piece can serve as a summer scarf, light-weight shawl, beach cover-up, or even a bath towel. It is extremely fast-drying and absorbent. As it folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 72”L x 36”W + 1"" Fringe

Material: 100% super soft GOTS Certified Cotton + natural, azo-free dyes

Color: Charcoal Gray

-----
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",45,USD,11,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,scandinavian_decor,housewarming_gift,stroller_blanket,bedroom_decor,linen_throw,boho_bath_towel,fall_decor,halloween","Bamboo,Cotton,Wool,Linen,Silk",https://i.etsystatic.com/22799156/r/il/d32544/2256821908/il_fullxfull.2256821908_po2x.jpg,,,,,,,,,,,,,,,,nemy_charcoalgray
"GRAY CHEVRON THROW | Scarf | Shawl | Bath Towel | Beach Blanket Towel | Baby Blanket | Summer Blanket | Organic | Sustainable | Bamboo ","Handcrafted in Tunisia


The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

--------

STORY - This luxurious blend of organic bamboo and cotton can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-------

IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future. 

-------

DETAILS: 

Measurement: 72”L x 36”W + 1” Tassle

Material: 50% super soft organic bamboo & 50% organic cotton + natural, azo-free dyes

Color: Charcoal Gray

------

CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",65,USD,3,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,scandinavian_decor,housewarming_gift,stroller_blanket,bedroom_decor,living_room_decor,boho_bath_towel,fall_decor,halloween","Silk,Linen,Wool,Cotton,Bamboo",https://i.etsystatic.com/22799156/r/il/f52bed/2256717444/il_fullxfull.2256717444_sraf.jpg,,,,,,,,,,,,,,,,chaand_charcoal
"DENIM BLUE STRIPED Summer Throw | Blanket | Scarf | Shawl | Bath Towel | Beach Blanket Towel | Baby Blanket | Organic Cotton | Lightweight","Handcrafted in Ethiopia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

------
STORY - This light-weight and breathable piece can serve as a summer scarf, light-weight shawl, beach cover-up, or even a bath towel. It is extremely fast-drying and absorbent. As it folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

------
DETAILS:

Measurement: 72”L x 36”W + 1"" Fringe

Material: 100% super soft GOTS Certified Cotton + natural, azo-free dyes

Color: Denim
------
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",45,USD,13,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,scandinavian_decor,housewarming_gift,stroller_blanket,bedroom_decor,linen_throw,boho_bath_towel,fall_decor,halloween","NATURAL AZOFREE DYES,ORGANIC GOTS CERTIFIED COTTON",https://i.etsystatic.com/22799156/r/il/0a23fa/2304345755/il_fullxfull.2304345755_8g77.jpg,,,,,,,,,,,,,,,,kia_denim
"NAVY ALPACA POM Throw | Blanket | Baby Blanket | Summer Blanket | Farmhouse | Wabi Sabi | Nautical | Aesthetic | Organic | Natural","Handcrafted in Peru

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last. 

------
STORY - This luxurious blend of pima cotton and fine alpaca can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. Hypoallergenic and moisture-wicking, an alpaca throw is the comfort piece for your home. We are using natural fibers of the finest and most precious quality -- from the first shearings of the Huacaya and Suri Alpacas.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

------
DETAILS:

Measurement: 67” L x 52” W + 2"" pom-poms

Material: 100% Super-Soft Alpaca + Azo-Free Natural Dyes

Color: Navy

------
CARE - Dry clean only.",189,USD,1,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,scandinavian_decor,housewarming_gift,bedroom_decor,living_room_decor,cashmere_throw,alpaca_throw,washable,fall_decor,halloween","Silk,Linen,Wool,Cotton,Bamboo",https://i.etsystatic.com/22799156/r/il/0d9449/2303191369/il_fullxfull.2303191369_qgk0.jpg,https://i.etsystatic.com/22799156/r/il/e1766e/2303191663/il_fullxfull.2303191663_nxmf.jpg,,,,,,,,,,,,,,,aiko_navywhitepom
"BLACK CHEVRON THROW | Scarf | Shawl | Bath Towel | Beach Blanket Towel | Baby Blanket | Summer Blanket | Organic | Sustainable | Bamboo ","Handcrafted in Tunisia


The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

--------

STORY - This luxurious blend of organic bamboo and cotton can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-------

IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future. 

-------

DETAILS: 

Measurement: 72”L x 36”W + 1” Tassle

Material: 50% super soft organic bamboo & 50% organic cotton + natural, azo-free dyes

Color: Black

------

CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",65,USD,2,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,beach_towel,scandinavian_decor,housewarming_gift,stroller_blanket,bedroom_decor,living_room_decor,boho_bath_towel,fall_decor,halloween","Silk,Linen,Wool,Cotton,Bamboo",https://i.etsystatic.com/22799156/r/il/6de3bb/2304248511/il_fullxfull.2304248511_mq6z.jpg,,,,,,,,,,,,,,,,chaand_black
"BLUE HERRINGBONE CASHMERE Throw | Blanket | Baby Blanket | Summer Blanket | Farmhouse | Wabi Sabi | Nautical | Aesthetic | Reversible","Handcrafted in Germany by a Family of Women Artisans


The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

------
STORY - This luxurious blend of cashmere and lambswool can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. We are using natural fibers of the finest and most precious quality -- from the first shearings of Mongolian Cashmere Goats to Australian Merino Wool Sheep.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

------
DETAILS - Measurement: 78"" L x 52"" W incl. fringes

Material: 90% Super Soft Cashmere + 10% Ultra-Fine Lambswool

Color: Navy

------
CARE - Dry clean only.",230,USD,1,"boho_decor,baby_blanket,baby_shower_gift,gift_for_her,scandinavian_decor,housewarming_gift,bedroom_decor,living_room_decor,cashmere_throw,lambswool_throw,washable,fall_decor,halloween","Bamboo,Cotton,Wool,Linen,Silk",https://i.etsystatic.com/22799156/r/il/9db9b9/2303148287/il_fullxfull.2303148287_keic.jpg,https://i.etsystatic.com/22799156/r/il/562cbb/2255544840/il_fullxfull.2255544840_nqpk.jpg,,,,,,,,,,,,,,,jutte_navy
